G1397	建德	婺源	09:14	10:44
K1159	兰考	许昌	22:30	01:20
G1485	鹰潭北	武夷山北	14:12	15:07
C7401	三亚	三亚	06:10	11:10
D6266	南昌	南昌	09:08	14:57
C7473	海口东	海口东	16:33	21:14
G276	漯河西	兰考南	12:45	13:55
G8343	合肥南	合肥南	14:22	17:05
G5556	济南	城阳	07:40	12:07
D7321	汕头	汕头	14:51	21:01
T136	余姚	嘉善	18:33	21:25
D1	郑州	武昌	00:05	04:44
D2	武昌	郑州	21:23	02:04
C665	济南	济南	15:08	21:47
D3324	黄山北	千岛湖	08:39	09:22
G6357	郴州西	汕头	18:26	22:57
K1160	信阳	徐州	00:34	10:46
D2282	宁波	上海虹桥	18:46	21:19
G830	漯河西	洛阳龙门	19:20	21:16
D5225	十堰东	恩施	11:19	19:35
G6996	潍坊	临沂北	16:16	19:51
